al ag as at k5 lm ln,iq ir mg bn,iq ir mg bn,al ag as at k5 lm ln,kp kq fy fw b1,g2 fv g3 be di bg dj b1,rich-text
45,青四季春 Four Season Tea,青四季春 Four Season Tea,45,,"冷飲(660ml)：總熱量176大卡，總糖量37公克，咖啡因126毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量128大卡，總糖量27公克，咖啡因105毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/四季春青茶/臺灣(本產品圖片僅供參考，實品請以實物為主)",
45,翡翠綠茶 Jade Green Tea,翡翠綠茶 Jade Green Tea,45,,"冷飲(660ml)：總熱量212大卡，總糖量45公克，咖啡因177毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量129大卡，總糖量27公克，咖啡因148毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
45,極品紅茶 Prime Black Tea,極品紅茶 Prime Black Tea,45,,"冷飲(660ml)：總熱量214大卡，總糖量45公克，咖啡因200毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量131大卡，總糖量27公克，咖啡因167毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
50,紅水烏龍 Red Oolong Tea,紅水烏龍 Red Oolong Tea,50,,"冷飲(660ml)：總熱量177大卡，總糖量37公克，咖啡因286毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量127大卡，總糖量27公克，咖啡因163毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅水鳥龍/臺灣",
50,三韻紅萱 Hongxuan Tea,三韻紅萱 Hongxuan Tea,50,,"冷飲(660ml)：總熱量173大卡，總糖量37公克，咖啡因140毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量126大卡，總糖量27公克，咖啡因117毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三韻紅萱/臺灣(本產品圖片僅供參考，實品請以實物為主)",
55,三十三茶王 33 King's Oolong Tea,三十三茶王 33 King's Oolong Tea,55,,"冷飲(660ml)：總熱量182大卡，總糖量37公克，咖啡因117毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量95大卡，總糖量19公克，咖啡因97毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣(本產品圖片僅供參考，實品請以實物為主)",
55,碎銀普洱茶 Puerh Tea,碎銀普洱茶 Puerh Tea,55,,"冷飲(660ml)：總熱量210大卡，總糖量45公克，咖啡因165毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量127大卡，總糖量27公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
55,花沫烏龍 Blooming Oolong Tea,花沫烏龍 Blooming Oolong Tea,55,,"冷飲(660ml)：總熱量175大卡，總糖量37公克，咖啡因112毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量89大卡，總糖量19公克，咖啡因93毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主)",
60,極品奶茶 Black Milk Tea,極品奶茶 Black Milk Tea,60,,"冷飲(660ml)：總熱量491大卡，總糖量46公克，咖啡因183毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量332大卡，總糖量30公克，咖啡因292毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
60,翡翠奶茶 Green Milk Tea,翡翠奶茶 Green Milk Tea,60,,"冷飲(660ml)：總熱量489大卡，總糖量46公克，咖啡因163毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量330大卡，總糖量30公克，咖啡因259毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
65,茶王奶茶 King's Oolong Milk Tea,茶王奶茶 King's Oolong Milk Tea,65,,"冷飲(660ml)：總熱量494大卡，總糖量46公克，咖啡因107毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量337大卡，總糖量30公克，咖啡因170毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣(本產品圖片僅供參考，實品請以實物為主)",
65,碎銀普洱奶茶 Puerh Milk Tea,碎銀普洱奶茶 Puerh Milk Tea,65,,"冷飲(660ml)：總熱量585大卡，總糖量48公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量424大卡，總糖量32公克，咖啡因206毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
72,珍珠奶茶 Black Milk Tea with Tapioca,珍珠奶茶 Black Milk Tea with Tapioca,72,,"冷飲(660ml)：總熱量670大卡，總糖量42公克，咖啡因150毫克。
熱飲(500ml)：總熱量539大卡，總糖量32公克，咖啡因292毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南
(本產品圖片僅供參考，實品請以實物為主)",
